isogroup22768	GO:0009986;GO:0070062;GO:0005887;GO:0005886;GO:0043235;GO:0030246;GO:0043274;GO:0004872;GO:0004888;GO:0001816;GO:0090403;GO:0090238;GO:0043517;GO:0072593;GO:0006898;GO:0090399
isogroup20927	GO:0005615;GO:0005875;GO:0020037;GO:0046872;GO:0004601;GO:0004666;GO:0007304;GO:0007306;GO:0042744;GO:0042743;GO:0030707;GO:0001516;GO:0006979
isogroup13483	GO:0005743;GO:0031966;GO:0005747;GO:0008137;GO:0006120;GO:0032981;GO:0006979
isogroup00561	GO:0005737;GO:0030178;GO:2000543;GO:0051302;GO:2000114;GO:0032880
isogroup07552	GO:0005814;GO:0036064;GO:0005929;GO:0070062;GO:0005874;GO:0005654;GO:0044822;GO:0060271;GO:2000147;GO:2000253;GO:0018095;GO:0060296
isogroup03659	GO:0005737;GO:0005829;GO:0005739;GO:0009506;GO:0005681;GO:0005524;GO:0004004;GO:0003729;GO:0044822;GO:0000398
isogroup33090	GO:0001772;GO:0005622;GO:0035556;GO:0009968;GO:0050868;GO:0010498;GO:0016567;GO:0040008
isogroup08137	GO:0016590;GO:0008623;GO:0008270;GO:0006338;GO:0006261;GO:0006355;GO:0006351
isogroup05442	GO:0005737;GO:0030529;GO:0005730;GO:0003723;GO:0043066;GO:0045597;GO:0006355;GO:0006417;GO:0006364;GO:0006351
isogroup05103	GO:0005737;GO:0005856;GO:0005667;GO:0003713;GO:0008270;GO:0006355
isogroup33589	GO:0005737;GO:0005829;GO:0070062;GO:0005634;GO:0005886;GO:0004177;GO:0070006;GO:0042277;GO:0008270;GO:0071456;GO:0043171;GO:1903955;GO:0006508
isogroup23250	GO:0005730;GO:0000166;GO:0003723;GO:0010923
isogroup19056	GO:0005789;GO:0016021;GO:0016020;GO:0031648;GO:0043254;GO:0009966
isogroup01545	GO:0005783;GO:0005789;GO:0070062;GO:0016021;GO:0043231;GO:0005743;GO:0005739;GO:0005777;GO:0004028;GO:0004029;GO:0004030;GO:0046577;GO:0050061;GO:0052814;GO:0006081;GO:0007417;GO:0008544;GO:0055114;GO:0007422;GO:0033306;GO:0006714
isogroup03967	GO:1904115;GO:0005913;GO:0005813;GO:0005737;GO:0005634;GO:0098641;GO:0005096;GO:0008536;GO:0035690;GO:0072750;GO:0000082;GO:0046604;GO:0010976;GO:0006606;GO:0051592;GO:0006405;GO:0007051;GO:0006511
isogroup31953	GO:0005737;GO:0000784;GO:0005664;GO:0005634;GO:0000808;GO:0005524;GO:0003688;GO:0006260;GO:0006270
isogroup14910	GO:0009925;GO:0005925;GO:0005887;GO:0005886;GO:0005509;GO:0050839;GO:0004872;GO:0016339;GO:0044331;GO:0050829;GO:0060429;GO:0042247;GO:0030950;GO:0007440;GO:0007293;GO:0007295;GO:0007442;GO:0007156;GO:0045571;GO:0048477;GO:0007424;GO:0045089;GO:0007431
isogroup13881	GO:0005759;GO:0005739;GO:0004300;GO:0006635
isogroup33902	GO:0005737;GO:0045111;GO:0015630;GO:0005815;GO:0030496;GO:0005634;GO:0019904;GO:0007049;GO:0051301;GO:0008283;GO:0021987;GO:0022027;GO:0000226;GO:0022008;GO:0032886
isogroup07687	GO:0015935;GO:0003735;GO:0006412
